State or territory,Population
California,39250017
Texas,27862596
Florida,20612439
New York,19745289
Illinois,12801539
Pennsylvania,12784227
Ohio,11614373
Georgia,10310371
North Carolina,10146788
Michigan,9928300
New Jersey,8944469
Virginia,8411808
Washington,7288000
Arizona,6931071
Massachusetts,6811779
Tennessee,6651194
Indiana,6633053
Missouri,6093000
Maryland,6016447
Wisconsin,5778708
Colorado,5540545
Minnesota,5519952
South Carolina,4961119
Alabama,4863300
Louisiana,4681666
Kentucky,4436974
Oregon,4093465
Oklahoma,3923561
Connecticut,3576452
Puerto Rico,3411307
Iowa,3134693
Utah,3051217
Mississippi,2988726
Arkansas,2988248
Nevada,2940058
Kansas,2907289
New Mexico,2081015
Nebraska,1907116
West Virginia,1831102
Idaho,1683140
Hawaii,1428557
New Hampshire,1334795
Maine,1331479
Rhode Island,1056426
Montana,1042520
Delaware,952065
South Dakota,865454
North Dakota,757952
Alaska,741894
District of Columbia,681170
Vermont,624594
Wyoming,585501
