state,libraries
Alabama,284
Alaska,102
Arizona,185
Arkansas,210
California,1084
Colorado,242
Connecticut,244
Delaware,33
District of Columbia,27
Florida,487
Georgia,369
Hawaii,50
Idaho,142
Illinois,793
Indiana,434
Iowa,563
Kansas,374
Kentucky,190
Louisiana,334
Maine,280
Maryland,176
Massachusetts,483
Michigan,661
Minnesota,357
Mississippi,239
Missouri,388
Montana,108
Nebraska,291
Nevada,85
New Hampshire,237
New Jersey,455
New Mexico,113
New York,1083
North Carolina,379
North Dakota,91
Ohio,720
Oklahoma,206
Oregon,210
Pennsylvania,630
Rhode Island,72
South Carolina,184
South Dakota,144
Tennessee,286
Texas,841
Utah,112
Vermont,191
Virginia,341
Washington,325
West Virginia,176
Wisconsin,456
Wyoming,74
